VAALPENSKRAAL WOOD (Braai Mix / VPK) — Facebook Ads exports (tabular)
Generated: 2026-04-17 16:54 UTC
Split rule: “Vaalpenskraal”, or word VPK, in row text; and not classified as Miwesu. Anonymous “Post: … BULK BRAAI …” campaign rows are treated as Vaalpenskraal (same creative as prefixed row).
Sources: 01a/Frank-Smit-*, 01a/Untitled-report-*.xlsx, 01a/Vaalpenskraal_Wood-Campaigns-*.xlsx.
Columns are tab-separated (TSV).
================================================================================


--- Frank-Smit-Campaigns-Mar-17-2023-Apr-17-2026.xlsx :: Worksheet ---
Reporting starts	Reporting ends	Campaign name	Campaign delivery	Results	Result indicator	Cost per results	Ad set budget	Ad set budget type	Amount spent (ZAR)	Impressions	Reach	Ends	Attribution setting
2025-09-18	2026-04-17	[Vaalpenskraal Braai Mix FireWood] Marketplace listing boosted on 1/27/2026	completed	3	actions:onsite_conversion.messaging_conversation_started_7d	11.11	50	Daily	33.33	9912	9013	2026-01-30	7-day click or 1-day view
2025-09-18	2026-04-17	Vaalpenskraal-BRAAIMIX-CAROSEL	completed	1919	actions:link_click	0.40227723	70	Daily	771.97	64910	42616	2026-02-28	7-day click or 1-day view
2025-09-18	2026-04-17	Vaalpenskraal_New Engagement Campaign	completed	1217	actions:like	1.00649137	Using ad set budget	0	1224.9	24478	13074	2026-02-27	7-day click or 1-day view
2025-09-18	2026-04-17	"Vaalpenskraal_Post: ""🔥 BULK BRAAI WOOD SPECIAL! 🔥"""	completed	9	actions:click_to_call_native_call_placed	31.42	60	Daily	282.78	7941	5352	2026-02-06	7-day click or 1-day view
2025-09-18	2026-04-17	"Post: ""🔥 BULK BRAAI WOOD SPECIAL! 🔥"""	completed	2	actions:click_to_call_native_call_placed	115.135	50	Daily	230.27	7972	5841	2026-02-08	7-day click or 1-day view

--- Untitled-report-Mar-17-2023-to-Apr-17-2026 (1).xlsx :: Creative Reporting ---
Campaign name	Ads	Ad set name	Ad name	Page name	Age	Gender	Objective	Day	Campaign ID	Ad set ID	Ad ID	Page ID	Delivery status	Delivery level	Result type	Results	Cost per result	Amount spent (ZAR)	Impressions	Reach	Attribution setting	Quality ranking	Engagement rate ranking	Conversion rate ranking	Ad set name.1	Reporting starts	Reporting ends
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	45-54	female	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad				0.45	4	4	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	65+	female	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad				0	1	1	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	25-34	unknown	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad				0.08	1	1	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	55-64	male	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad				0.36	13	9	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	35-44	male	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad				2.63	48	48	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	55-64	female	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad	Facebook likes	1	0.68	0.68	7	7	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	25-34	male	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad	Facebook likes	5	0.546	2.73	57	56	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal_New Engagement Campaign	New Engagement Ad	Vaalpenskraal_New Engagement Ad Set	New Engagement Ad	Vaalpenskraal Braai Mix	18-24	unknown	OUTCOME_ENGAGEMENT	2026-02-27	120239263987690637	120239263987700637	120239263987710637	1001703389686936	not_delivering	ad				0.01	1	1	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Engagement Ad Set	2026-02-27	2026-02-27
Vaalpenskraal-BRAAIMIX-CAROSEL	New Sales Ad	Vaalpenskraal_New Sales Ad Set	New Sales Ad	Vaalpenskraal Braai Mix	65+	male	OUTCOME_SALES	2026-02-27	120239104967410637	120239104967400637	120239104967420637	1001703389686936	not_delivering	ad	Link clicks	36	0.58857675	21.18876293	1609	1505	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Sales Ad Set	2026-02-27	2026-02-27
Vaalpenskraal-BRAAIMIX-CAROSEL	New Sales Ad	Vaalpenskraal_New Sales Ad Set	New Sales Ad	Vaalpenskraal Braai Mix	45-54	male	OUTCOME_SALES	2026-02-27	120239104967410637	120239104967400637	120239104967420637	1001703389686936	not_delivering	ad	Link clicks	32	0.44049467	14.09582954	1259	1161	7-day click or 1-day view	-	-	-	Vaalpenskraal_New Sales Ad Set	2026-02-27	2026-02-27
